Date,Close
1985-06-30,18.0
1985-09-30,15.75
1985-12-31,22.0
1986-03-31,28.25
1986-06-30,35.88
1986-09-30,33.5
1986-12-31,40.5
1987-03-31,64.5
1987-06-30,40.5
1987-09-30,56.5
1987-12-31,42.0
1988-03-31,40.0
1988-06-30,46.25
1988-09-30,43.25
1988-12-31,40.25
1989-03-31,35.63
1989-06-30,41.25
1989-09-30,44.5
1989-12-31,35.25
1990-03-31,40.25
1990-06-30,44.75
1990-09-30,29.0
1990-12-31,43.0
1991-03-31,68.0
1991-06-30,41.5
1991-09-30,49.5
1991-12-31,56.38
1992-03-31,58.25
1992-06-30,48.0
1992-09-30,45.13
1992-12-31,59.75
1993-03-31,51.5
1993-06-30,39.5
1993-09-30,23.37
1993-12-31,29.25
1994-03-31,33.25
1994-06-30,26.5
1994-09-30,33.69
1994-12-31,39.0
1995-03-31,35.25
1995-06-30,46.44
1995-09-30,37.25
1995-12-31,31.87
1996-03-31,24.56
1996-06-30,21.0
1996-09-30,22.19
1996-12-31,20.87
1997-03-31,18.25
1997-06-30,14.25
1997-09-30,13.19
